"HERS","Species"
0,"AAGA4"
0.221523793322251,"AAGA9"
0.960823845621396,"AAGA13"
0.579161185814526,"AAGA16"
0.000696795327322824,"MCAV4"
2.30669975280762e-05,"MCAV9"
0.026382745346935,"AAGA4"
0.189802777220895,"AAGA9"
0.242805160572874,"AAGA13"
0.214703840303407,"AAGA16"
1.15071365444475e-10,"MCAV4"
0.00196733738914861,"AAGA9"
0.97929349321253,"AAGA13"
1.61713854370956e-15,"AAGA16"
0.000608353387741815,"MCAV4"
0.395109413872153,"MCAV9"
0.0296974040505505,"AAGA4"
9.35929155662999e-18,"AAGA9"
0.360953629848149,"AAGA13"
0.123299452338574,"AAGA16"
0.057881955691142,"MCAV4"
NA,"MCAV9"
0.0955159385974142,"AAGA4"
0.0401884420320409,"AAGA9"
0.946812217654227,"AAGA13"
0.679310083089556,"AAGA16"
3.33263245979414e-18,"MCAV4"
0.240502707918071,"MCAV9"
0.111356931127165,"AAGA4"
0.41828309519858,"AAGA9"
0.655584867378723,"AAGA13"
0.892485932821986,"AAGA16"
0.000103541782924107,"MCAV4"
0.422548726968998,"MCAV9"
0.10731160457123,"AAGA4"
0.348903283948301,"AAGA9"
0.186984918678527,"AAGA13"
0.0579493964965156,"AAGA16"
NA,"MCAV4"
2.98443367878872e-08,"MCAV9"
0.0634967985583515,"AAGA4"
0.0152525945344197,"AAGA9"
1.00000000000003,"AAGA13"
0.0750806532864561,"MCAV4"
1.59809471169633e-08,"MCAV9"
0.0954065528285066,"AAGA4"
0.00877828211107539,"AAGA9"
0.483017609550312,"AAGA13"
0.312452906344519,"AAGA16"
0.376026346701305,"MCAV4"
1,"MCAV9"
0.101771536064588,"AAGA4"
0.256674385248759,"AAGA9"
0.794486760622495,"AAGA13"
0.34236331119392,"AAGA16"
0.0950083280338457,"MCAV4"
0.000139760971069336,"MCAV9"
0.0707502547470956,"AAGA4"
0,"AAGA9"
0.468298972849623,"AAGA13"
0.00243345896402995,"MCAV4"
0.394524065598647,"MCAV9"
0.0964711811635783,"MCAV13"
0.280310203580084,"MCAV16"
0.291069851956507,"OFAV4"
NA,"OFAV9"
0.390554773734233,"OFAV13"
1.31602577780067e-17,"OFAV16"
0.348351351752868,"OFRA4"
0,"OFRA9"
0,"OFRA13"
0.256819112882307,"OFRA16"
0.0781332008118907,"PAST4"
0.675652690759552,"PAST9"
0.200226399333928,"PAST13"
0.713111316116235,"PAST16"
0.370119214089305,"PPOR4"
0.0925442498920826,"PPOR9"
1.03480677931553e-06,"PPOR13"
7.58111614386746e-17,"PPOR16"
0.0633782490314472,"AAGA4"
0.269301155190036,"AAGA9"
0.999999999999967,"AAGA13"
0.286784335900199,"AAGA16"
0.5308296818008,"MCAV4"
0.339193330261635,"MCAV9"
NA,"MCAV13"
0.0942200758413826,"MCAV16"
0.168959304009391,"OFAV4"
0.50000206692958,"OFAV9"
0.451680179442253,"OFAV13"
0.102832975276569,"OFAV16"
0.432837909058561,"OFRA4"
0.0990774313407962,"OFRA9"
1.75774789556535e-18,"OFRA13"
0.358272903286924,"OFRA16"
0.337864315982583,"PAST4"
0.415928574370043,"PAST9"
0.113750840947798,"PAST13"
0.000485219039814676,"PAST16"
0.399097832345467,"PPOR4"
3.99998572182027e-17,"PPOR9"
5.04709991623358e-09,"PPOR13"
4.91933690166814e-15,"PPOR16"
0.13598642529284,"AAGA4"
0.217732290584334,"AAGA9"
Inf,"AAGA13"
0.00107179582118988,"AAGA16"
0.0997924359237441,"MCAV4"
0.0518720335575594,"MCAV13"
0.0269852248474358,"MCAV16"
0.254038751838739,"OFAV4"
0.657354576290025,"OFAV9"
0.714981153931237,"OFAV13"
4.39104727956657e-16,"OFAV16"
0.244191525110629,"OFRA4"
0.104188084424727,"OFRA9"
6.36261723885543e-17,"OFRA13"
0.5,"OFRA16"
0.387937852665602,"PAST4"
0.318237326081671,"PAST13"
0.472246772786584,"PPOR4"
0.000673703849315644,"PPOR9"
Inf,"PPOR13"
0.850074471774196,"PPOR16"
0.0585292147818177,"AAGA4"
0.336750508925185,"AAGA9"
0.901716010769852,"AAGA13"
0.000135993957519531,"AAGA16"
0.167170813031522,"MCAV4"
NA,"MCAV9"
4.05062270222219e-08,"MCAV13"
0.397989838811228,"MCAV16"
0.163801425458702,"OFAV4"
0.000450134279966011,"OFAV9"
0.110837315069668,"OFAV16"
0.499999999999836,"OFRA4"
Inf,"OFRA9"
0,"OFRA13"
0.0844042010876689,"OFRA16"
0.365458585510287,"PAST4"
2.22065163646737e-05,"PAST9"
0.398019510816128,"PAST13"
3.89897882089352e-06,"PAST16"
6.16914354209779e-07,"PPOR4"
5.70124840315537e-16,"PPOR9"
0.000312650943905893,"PPOR13"
1.03036586887305e-18,"PPOR16"
0.0955614209994116,"AAGA4"
0.335153027120784,"AAGA9"
0.342519186815115,"AAGA13"
0.550757734318885,"AAGA16"
NA,"MCAV4"
2.16764882484746e-18,"MCAV9"
0.101952723455699,"MCAV13"
0,"MCAV16"
0.168083297482359,"OFAV4"
0.336295767287264,"OFAV13"
0.167428365208743,"OFAV16"
5.1423318780314e-15,"OFRA4"
0.119904975021715,"OFRA9"
0.0828496084101014,"OFRA13"
0.231144386359727,"OFRA16"
0.181046716572863,"PAST4"
1.9844121068298e-17,"PAST9"
0.323578766531133,"PAST13"
0.609554981353218,"PAST16"
0.23756893529067,"PPOR4"
1.14898213034936e-05,"PPOR9"
Inf,"PPOR13"
0.182686412753949,"PPOR16"
0.128251222887024,"AAGA4"
0.282811419375466,"AAGA9"
0.858777046987133,"AAGA13"
0.421378349312346,"AAGA16"
0.51818656117615,"MCAV4"
0.33429165811676,"MCAV9"
0.0313949071378724,"MCAV13"
0.307092461763773,"MCAV16"
0.222031024167439,"OFAV4"
NA,"OFAV9"
0.261344269635386,"OFAV13"
0.0740274298586307,"OFAV16"
0.315903613125911,"OFRA4"
0.0489540974215024,"OFRA9"
6.23520594062181e-17,"OFRA13"
0.17695063189142,"OFRA16"
0.328998001635589,"PAST4"
Inf,"PAST9"
0.30519355787362,"PAST13"
0.41993859886841,"PPOR4"
1.04374532399597e-17,"PPOR9"
0.0796765148132474,"AAGA4"
0.210232851862405,"AAGA9"
0.419286602572412,"AAGA13"
1.0434672652797e-09,"AAGA16"
0.346107218500298,"MCAV4"
0.345072036192741,"MCAV9"
0.0784459978541301,"MCAV13"
0.243845538662905,"MCAV16"
0.272972042613992,"OFAV4"
7.64778395137641e-05,"OFAV9"
0.830362321581062,"OFAV13"
0.12170839265496,"OFAV16"
0.0361443740104592,"OFRA4"
1.50295493655732e-18,"OFRA9"
2.27465736495649e-16,"OFRA13"
1.13639649657276e-17,"OFRA16"
0.181839077689653,"PAST4"
0.455987524346319,"PAST9"
0.442619852756792,"PAST13"
0.19128405011285,"PAST16"
0.243022591284916,"PPOR4"
0.000966549149482107,"PPOR9"
0.238502129575077,"PPOR13"
0.212776701447223,"PPOR16"
1.31534905633895e-17,"AAGA4"
0.0535528007179875,"AAGA9"
0.00120449066162109,"AAGA13"
0.332900793014148,"AAGA16"
1.52964259184738e-10,"MCAV4"
0.215689040612265,"MCAV9"
0.0297446777339556,"MCAV16"
0.226948243028215,"OFAV4"
0.0110707841813564,"OFAV9"
2.35459522570288e-16,"OFAV16"
3.79972193522729e-06,"OFRA4"
0.0687806128751133,"OFRA9"
2.26241084579183e-09,"OFRA13"
Inf,"OFRA16"
0.477076675490529,"PAST4"
1.39107993476993e-05,"PAST9"
0.704841459549595,"PAST13"
2.60891357084824e-05,"PAST16"
0,"PPOR4"
0.0681126168167178,"PPOR9"
0.321033604797439,"PPOR13"
0.5,"PPOR16"
0.109040063901398,"AAGA4"
0.076262662780333,"AAGA16"
0.143913562925803,"MCAV4"
1,"MCAV9"
0.0704854507216407,"MCAV13"
1.95821232759724e-17,"MCAV16"
0.216227087685663,"OFAV4"
0.448191497550194,"OFAV9"
0.261518639177395,"OFAV16"
0.500000000000283,"OFRA4"
0.193401251791196,"OFRA9"
0.0111590523689746,"OFRA13"
4.422186242323e-05,"OFRA16"
0.369198894870314,"PAST4"
0.691176074397583,"PAST13"
0.107025735151637,"PAST16"
0.2479884334605,"PPOR4"
1.20871056575548e-16,"PPOR9"
0.636159528022443,"PPOR13"
0.5,"PPOR16"
0.10376478634841,"AAGA4"
0.00451543862977714,"AAGA9"
0.922700547636499,"AAGA13"
1.33514404296875e-05,"AAGA16"
0.000758080255417597,"MCAV4"
1.33229235988015e-07,"MCAV9"
0.0601311606578101,"MCAV13"
0.164254734723463,"MCAV16"
0.0831933000436117,"OFAV4"
5.91238923084624e-06,"OFAV9"
0.179690346253973,"OFAV13"
6.33471514067559e-17,"OFAV16"
Inf,"OFRA4"
0.0551717571778306,"OFRA9"
0.00529593290100545,"OFRA13"
0.000699276176313608,"OFRA16"
0.225750331167372,"PAST4"
3.31440817946205e-17,"PAST9"
0.444583671085382,"PAST13"
0.000173509311132913,"PAST16"
0.201880257495343,"PPOR4"
0.0977297394378818,"PPOR9"
0.240476818055076,"PPOR13"
NA,"PPOR16"
